ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
,Doritos 3D Crunch_FR,,,Doritos 3D FR WebsiteBanner_1920x715.jpg,Doritos 3D FR Website_720x960.jpg,,,1
8331,Doritos Generic Banner FR,,,Doritos-Web-Banner-FRENCH.jpg,Doritos-Banner_FRENCH.jpg,,/fr-ca/marques/doritos/produits,2
6086,Dinamita Banner FR,Chips tortilla roulés DORITOS DINAMITA<sup>®</sup> ,,Doritos-dinamita-Banner.png,Dinamita_banner_mobile.png,Pour en savoir plus,/fr-ca/marques/doritos/produits-categories/doritos-dinamita,3
9098,Flamin Hot Banner FR,,,Web - FRENCH- 1920x715 - Desktop.jpg,Web - FRENCH -_750x1050 - Mobile.jpg,,/fr-ca/marques/enflamme,4
6096,Tasty Rewards FR,Obtenez des récompenses de la part des marques que vous aimez !,,Entertaining-069_Canadian_V2_1920x625.png,Entertaining-069_Canadian_V2_750x1050.png,S'inscrire,/fr-ca/sign-up,5
