ID,Name,Image,Link Uri,Link Title,Order,Description
60,TOSTITOS® Tortilla Chips,Tostitos_category_group.png,/brands/tostitos/products-categories/tostitos-chips,View Products,1,"Great occasions start with sharing the perfect snack. Try Tostitos® tortilla chips, salsa and dips in a range of different delicious combinations. There’s something for everyone to love for any occasion.
"
59,TOSTITOS®  Salsa and Dips,Salsa_categotry_group.png,/brands/tostitos/products-categories/salsa-dips,View Products,3,"Great occasions start with sharing the perfect snack. Try Tostitos® tortilla chips, salsa and dips in a range of different delicious combinations. There’s something for everyone to love for any occasion."
171,Simply TOSTITOS® Tortilla Chips,Simply_category_group.png,/brands/tostitos/products-categories/simply-tostitos,View Products,2,Great occasions start with sharing the perfect snack. Try Simply Tostitos® tortilla chips and salsa in a range of different delicious combinations. There’s something for everyone to love for any occasion.
