ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
3087,Quaker Oat FR,,,Desk-FR_0.jpg,Quaker-mob – FR.jpg,,/fr-ca/marques/quaker/farine-davoine,
9416,Bare FR 1,"Essayez les nouvelles<br>
recettes Quaker<sup>®</sup>",,101044_IQO_Bare_Vers_1920x715_Banner_P2A_0.jpg,101044_IQO_Bare_Vers_750x960_Banner_P1A.png,En savoir plus,/fr-ca/recettes/quaker-croustade-la-courge-musquee-et-aux-pommes,1
6426,Tasty Rewards FR,Obtenez des récompenses<br> de la part des marques<br> que vous aimez!,,Morning Mealtime-019_CanadianFrench_V2_1920x625.png,Morning Mealtime-019_CanadianFrench_750x1050.png,S'inscrire,/fr-ca/sign-up,4
