ID,Name,Image,Link Uri,Link Title,Order
4,Chips tortilla DORITOS<sup>®</sup>,Doritos_category.png,/marques/doritos/produits-categories/doritos,Voir Produits,1
5,Chips tortilla roulés DORITOS DINAMITA<sup>®</sup>,dinamita_category.png,/marques/doritos/produits-categories/doritos-dinamita,Voir Produits,2
6,Emballage de produits assortis ,variety_pack_category.png,/marques/doritos/produits-categories/emballage-de-produits-assortis,Voir Produits,3
