ID,Name,Image,Link Uri,Link Title,Order
4,Croustilles RUFFLES<sup>®</sup>,regular_ruffles.png,/marques/ruffles/produits-categories/ruffles,Voir Produits,1
5,Croustilles RUFFLES ULTRACROQUANTES<sup>_MC_</sup>,doublecrunch_ketchup_ruffles.png,/marques/ruffles/produits-categories/ruffles-ultracroquantes-mf,Voir Produits,3
6,Trempettes RUFFLES<sup>®</sup>,dips_ranch_ruffles.png,/marques/ruffles/produits-categories/trempettes-ruffles,Voir Produits,2
