ID,Title,Description,YouTube URL,Order
6106,Bouchées de fromage grillé fantaisie,,https://www.youtube.com/watch?v=N1_THxlLWxw,10
6116,Salsa à la mangue,Faite avec de vraies mangues,https://www.youtube.com/watch?v=AVXz82_eNXQ,10
6111,Salsa garnie,,https://www.youtube.com/watch?v=_nUyWuYxZAo,20
6121,Explosion choco-bacon,,https://www.youtube.com/watch?v=lYstbnjTOW8,20
