ID,Title,Description,YouTube URL,Order
110000,Lay’s Ketchup®,,https://www.youtube.com/watch?v=Iph2wgrnC8I,6
110001,Lay’s Classic®,,https://www.youtube.com/watch?v=slEBdd1KSLU,7
110002,Lay’s ® Cheddar Jalapeño,,https://www.youtube.com/watch?v=k0hcyT-WVYs,8
110003,Lay’s® Sour Cream & Onion,,https://www.youtube.com/watch?v=q9YmReRwrrE,1
110004,Lay’s® Old Fashioned Bar-B-Q,,https://www.youtube.com/watch?v=oVH9xhN_F6g,2
110005,Lay’s® Dill Pickle,,https://www.youtube.com/watch?v=uKm3OIA0keU,3
110006,Lay’s® Salt & Vinegar,,https://www.youtube.com/watch?v=JkVI-BjbOVE,4
110007,Lay’s® Bar-B-Q,,https://www.youtube.com/watch?v=lpBBc19Jxb4,5
