ID,Title,Title FR,Image,Value,QTY per week,Total Quantity
7314,Free Product Coupons available,Free Product Coupons available(FR),, $ 6.99 ,900,9000
7357,Quaker® Oatmeal Travelers available,Quaker® Oatmeal Travelers available(FR),, $ 20.00 ,100,1000
