ID,Title,Description,YouTube URL
77766,All the flavour. None of the work.,Unexpectedly flavourful. And unexpectedly easy. Enjoy the whole grain goodness of popped brown rice.,https://youtu.be/uKXLm8UIdZc
77767,All the flavour. None of the work.,Unexpectedly flavourful. And unexpectedly easy. Enjoy the whole grain goodness of popped brown rice.,https://youtu.be/7YrMinq4hdQ
3761,Unexpectedly Flavourful - Cheddar,Long day at work? Enjoy an unexpectedly flavourful snack.,https://www.youtube.com/watch?v=ye6v86G555Y
3771,Unexpectedly Flavourful – Crunchy Dill,Long day at work? Enjoy an unexpectedly flavourful snack.,https://www.youtube.com/watch?v=XVKYSdAzKZ8
3776,Unexpectedly Flavourful - Ketchup,Long day at work? Enjoy an unexpectedly flavourful snack.,https://www.youtube.com/watch?v=2i3SHXg9rLM
