ID,Title,Description,YouTube URL,Order
8760,Doritos 3D™ Crunch snacks are here,,https://www.youtube.com/watch?v=MX1pMDuL5Gs,1
9301,Doritos<sup>®</sup> 3D Crunch snacks are here.,,https://www.youtube.com/watch?v=UyBcMTKuKR8,2
6056,Doritos®: #HabLovesGuac Hug,,https://www.youtube.com/watch?v=_G1MtRynFXQ&feature=youtu.be,3
6051,Doritos®: #HabLovesGuac Claw,,https://www.youtube.com/watch?v=es9MW7-HVk4&feature=youtu.be,4
6046,Doritos®: #HabLovesGuac Layers,,https://www.youtube.com/watch?v=2-AWD6rAvys&feature=youtu.be,5
5851,Another Level,,https://www.youtube.com/watch?v=eVksQBhzs-U,6
