ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Slide Order
4505,Slide 1 EN,Crafted without<br> compromise.,,Stacy_Simply nakes desktop banner.png,Stacy_Simply nakes Mobile banner.png,View More,,
6266,Tasty Rewards,Get Rewarded From<br> the Brands<br> You Love,,Nights In-078_Canadian_V2_1920x625_0.png,Nights In-078_Canadian_V2_750x1050_0.png,Sign Up,,
