ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
6686,Flamin' Hot Carousel,,,Web - ENGLISH - 1920x715 - Desktop.jpg,Web - ENGLISH -_750x1050 - Mobile.jpg,,/brands/flaminhot,1
5711,Tasty Rewards EN,Get Rewarded From the Brands You Love,,Entertaining-Canada-Assets_Brands-site_EN_2020.jpg,Entertaining-US-and-Canadian-Packaging-076-EN_2020.jpg,Sign Up ,https://www.tastyrewards.ca/en-ca,2
6961,My Homepage (from US),My homepage is your homepage,,banner_0.jpg,banner-mobile_0.jpg,Learn More,https://www.cheetos.com/,3
