ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
4026,Slides Recipes EN,Layer on the Flavour,,home-slider-brunch2x.jpg,Homepage_slide_brunch_mobile.png,Discover our Recipes,/en-ca/brands/crispyminis/recipes,1
3651,Tasty Rewards EN,Get Rewarded From the Brands You Love,"Join Tasty Rewards™ to access exclusive coupons, contests, and more. Signing up is free & easy!",Entertaining-069_Canadian_V2_1920x625.png,Entertaining-069_Canadian_V2_750x1050.png,Sign Up Now,/en-ca/sign-up,2
