ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Slide Order
6301,Smartfood White Cheddar_FR,Goût crémeux et doux<br> de vrai cheddar blanc,,Banner 2 White cheddar v2.png,Smatfood white cheddar_mobile.png,,/fr-ca/marques/smartfood/produits,1
6061,Smartfood Portfolio_FR,Parfaitement éclaté. Savouresement bonne!,,Smartfood portfolio.png,Smartfood porfolio_mobile.png,Voir le produit,/fr-ca/marques/smartfood/produits,2
5666,Tasty Rewards FR,Obtenez des récompenses<br> de la part des marques <br> que vous aimez!,,Nights In-078_Canadian_V2_1920x625_0.png,Nights In-078_Canadian_V2_750x1050_0.png,S'inscrire,/fr-ca/sign-up,3
