ID,Title,Headline,Description,Image,"Image Mobile","Button Label","Button Link","Slide Order"
7641,"Get the hint EN",,,Tostitos_WEBSITE_get-a-hint_1920x715_EN_v2.jpg,Tostitos_WEBSITE_get-a-hint_750x960_EN.jpg,,,-200
7576,"Flavour up your next get together with Tostitos",,,Tostitos%20Website%20Banner_%232.jpg,Tostitos%20Website%20Banner_%232_Mobile.jpg,,,20
7646,"Make Every Night Nacho Night",,,Tostitos%20Website%20Banner_%233.jpg,Tostitos%20Website%20Banner_%233_Mobile.jpg,"View Recipes",https://www.tostitos.ca/occasions/gimme-nachos,30
6701,"Tasty Rewards EN","Get Rewarded From the Brands You Love",,Entertaining-Canada-Assets_Brands-site_EN_2020.jpg,Entertaining-US-and-Canadian-Packaging-076-EN_2020.jpg,"Sign Up Now",https://www.tastyrewards.ca/en-ca,40
7651,"Get together get Tostitos",,,Tostitos%20Website%20Banner_%234.jpg,Tostitos%20Website%20Banner_%234_Mobile_0.jpg,,,50
