ID,Name,Description,Image,Recipes,Date
15331,Seasonal Favourites,Your favourite recipes perfectly designed for entertaining,family-snack-collection.jpg,"[5796] Chile Verde Hummus
[5831] Edamame Hummus
[5841] Greek Dip 
[5901] Pomegranate-Avocado Pico de Gallo
[5911] Roasted Red Pepper and Zatar Hummus
[5931] Spinach & Kale Greek Yogurt Dip
[5951] Tzatziki 
[5851] Grilled Pineapple Guacamole 
[5856] Honey & Almond Baked Brie
[5876] Lemon Rosemary Whipped Goat Cheese
[5921] Smoked Salmon & Chive Spread
",2016-02-11 13:44:34
15334,Ready in 10 mins or less,"Quick and easy recipes, cooked or chilled in 10 mins or less!",ready-collections_0.jpg,"[5791] Chicken Avocado Bites
[5801] Chorizo Sliders
[5811] Cotija jalape&ntilde;o Corn Dip
[5851] Grilled Pineapple Guacamole 
[5856] Honey & Almond Baked Brie
[5866] Jalape&ntilde;o Hummus with Honey 
[5871] Jalape&ntilde;o Pimento Cheese
[5876] Lemon Rosemary Whipped Goat Cheese
[5881] Queso w/Sabra Pico De Gallo
[5916] Rosemary Cranberry White Bean Dip
[5921] Smoked Salmon & Chive Spread
",2016-02-11 13:44:34
