ID,Name,Image,Link Uri,Link Title
61,Miss Vickie's<sup>®</sup>,Miss_vickies_category.png,/brands/missvickies/products-categories/miss-vickies,View Products
60,Miss Vickie's<sup>®</sup> Signatures,miss_vickies_signatures_categories.png,/brands/missvickies/products-categories/miss-vickies-signatures,View Products
