ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
,,,,Doritos 3D EN WebsiteBanner_1920x715.jpg,Doritos 3D EN Website_720x960.jpg,,,1
8326,Doritos Generic Banner ENG,,,Doritos-Web-Banner-5.png,Doritos-Banner-2.png,,/en-ca/brands/doritos/products-categories/doritos-dinamita,2
6081,Dinamita Banner ENG,DORITOS DINAMITA<sup>®</sup> Rolled Tortilla Chips,,Doritos-dinamita-Banner.png,Dinamita_banner_mobile.png,View Products,/en-ca/brands/doritos/products-categories/doritos-dinamita,3
9098,Flamin Hot Banner ENG,,,Web - ENGLISH - 1920x715 - Desktop.jpg,Web - ENGLISH -_750x1050 - Mobile.jpg,,/en-ca/brands/flaminhot,4
6091,Tasty Rewards,Get Rewarded <br>From the Brands You Love,,Entertaining-069_Canadian_V2_1920x625.png,Entertaining-069_Canadian_V2_750x1050.png,Sign Up Now,/en-ca/sign-up,5
