ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
3087,Quaker Oat,,,Quaker Oat banner_ENG_desktop.jpg,Quaker-oat_mobile.jpg,,/en-ca/brands/quaker/oat-flour,
9336,Bare EN 1,Give this delicious<br> new recipe a try!,,101044_IQO_Bare_Vers_1920x715_Banner_P2A.jpg,101044_IQO_Bare_Vers_750x960_Banner_P2A.jpg,Learn More,/en-ca/recipes/quaker-butternut-squash-and-apple-crisp,1
6421,Tasty Rewards EN,Get Rewarded From<br> the Brands You Love,,Morning Mealtime-019_Canadian_V2_1920x625.png,Morning Mealtime-019_Canadian_750x1050.png,Sign Up ,/en-ca/sign-up,4
