ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
7931,Layers of flavour FR,,,Homepage_Banner_Desktop_MGOnly_FR.jpg,Homepage_Banner_Mobile_MGOnly_FR.jpg,,/fr-ca/brands/sunchips/products,1
7776,Tasty Rewards FR,Obtenez des récompenses<br> de la part des marques<br> que vous aimez!,,Nights In-078_Canadian_V2_1920x625_0.png,Nights In-078_Canadian_V2_750x1050_0.png,S'inscrire dès maintenant,/fr-ca/sign-up,3
7811,Grab Some Sunshine FRE,,,FR_SunChips20Grab20Some20Sunchine_Website20Banner.jpg,FRE_SunChips_GSS_700x1230.jpg,Voir Des Produits,/fr-ca/brands/sunchips/products,4
