ID,Title,Headline,Description,Image,Image Mobile,Button Label,Button Link,Order
7361,Ruffles Flamin Hot ENG,,,Web - ENGLISH - 1920x715 - Desktop.jpg,Web - ENGLISH -_750x1050 - Mobile.jpg,,/en-ca/brands/flaminhot,1
7031,Ruffles P5 BBQ Banner ENG,BBQ SZN,,Ruffles-x-Budweiser_Website-Banner_Desktop_EN.jpg,Ruffles-x-Budweiser_Website-Banner_Mobile_EN.jpg,,,3
5831,Tasty Rewards NEW - EN,Get Rewarded From the Brands You Love,,Entertaining-069_Canadian_V2_1920x625.png,Entertaining-069_Canadian_V2_750x1050.png,Sign Up,/en-ca/sign-up,4
