ID,Title,Description,YouTube URL,Order,Date
9016,Quaker® Oats | Roasted Cauliflower & Oat Soup with Turmeric Recipe,You can put oats in soup? You can! And it’s delicious. Check out Quaker's Roasted Cauliflower & Oat Soup with Turmeric.,https://www.youtube.com/watch?v=tzWRFm0FfLE,10,2020-02-03 9:53:07
9011,Quaker® Oats | Cherry Chia Oat Smoothie Recipe,Energize your taste-buds with this delicious Cherry Chia Oat Smoothie.,https://www.youtube.com/watch?v=5LqTdUS5lDk,20,2020-02-03 9:52:25
9316,Quaker® Oats | Raspberry Oat Bites,Energize your taste-buds with this delicious oat bites recipe.,https://www.youtube.com/watch?v=ZiFcgJJa2A8,30,2020-07-16 11:29:13
9321,Quaker® Oats | Oat Beverage Recipe,"Try this simple recipe with Quaker Large Flake oats. Great with tea, coffee, or cereal!",https://www.youtube.com/watch?v=Z-3e7HnVROc,40,2020-07-16 11:31:17
